ID,名称,URL,X,Y
91,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00110038.pdf,6177.32,-38186.59
92,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00130002.pdf,6342.83,-38005.86
93,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00720001.pdf,6686.14,-37574.04
94,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00940001.pdf,6395.87,-38030.17
95,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01060001.pdf,6199.86,-38115
96,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030002.pdf,6813.16,-37851.45
97,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00530006.pdf,7502.57,-38136.97
98,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00010001.pdf,5355.47,-37259.74
99,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00040001.pdf,5391.88,-37333.16
100,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00060001.pdf,5311.38,-36717.58
101,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00080001.pdf,5555.28,-37286.15
102,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00100005.pdf,5554.35,-37343.69
103,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00150002.pdf,5389.72,-37277.67
104,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00160002.pdf,5867.69,-37105.6
105,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00570001.pdf,5096.77,-36999.22
106,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00580001.pdf,5303.9,-36995.96
107,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00590002.pdf,6066.29,-37048.66
108,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030001.pdf,6211.53,-37328.82
109,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00600001.pdf,5188.63,-36500.57
110,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00610001.pdf,5224.38,-36392.61
111,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01110004.pdf,5453.26,-36447.11
